city_index,city_country,city_name,city_lat,city_lon,population_2025_1000s,gauge_id,gauge_name,gauge_lat,gauge_lon,distance_km,rsl_low_2100,rsl_central_2100,rsl_high_2100,novlm_low_2100,novlm_central_2100,novlm_high_2100
820,India,Firozabad,27.15,78.41667,941.758,420,BHAUNAGAR_I,21.8,72.3,859,,,,,,
821,India,Gandhidham,23.067071,70.140032,465.869,596,KANDLA,23.02,70.22,10,0.11173529411764704,0.4575,1.8998823529411761,0.14258823529411763,0.45999999999999996,1.9004705882352937
822,India,Gaya,24.78333,85.0,623.751,1002,TRIBENI,22.98,88.4,400,,,,,,
823,India,Gorakhpur,26.759877,83.371379,816.586,1002,TRIBENI,22.98,88.4,659,,,,,,
824,India,Gulbarga,17.333333,76.833333,751.802,1249,MORMUGAO,15.42,73.8,388,,,,,,
825,India,Guntur,16.3,80.45,962.403,414,VISAKHAPATNAM,17.68,83.28,338,,,,,,
826,India,Guwahati (Gauhati),26.173547,91.750291,1224.174,1496,CHARCHANGA,22.22,91.05,446,,,,,,
827,India,Gwalior,26.22361,78.17917,1543.501,420,BHAUNAGAR_I,21.8,72.3,774,,,,,,
828,India,Habra,22.83444,88.6275,382.033,1002,TRIBENI,22.98,88.4,28,1.6398823529411763,2.0105,3.4330294117647053,0.1721764705882353,0.5025000000000001,1.9246176470588234
829,India,Haldwani-cum-kathgodam,29.218677,79.51842,381.677,420,BHAUNAGAR_I,21.8,72.3,1098,,,,,,
830,India,Hapur,28.71667,77.78333,356.615,420,BHAUNAGAR_I,21.8,72.3,947,,,,,,
831,India,Hardwar,29.96667,78.16667,489.32,420,BHAUNAGAR_I,21.8,72.3,1082,,,,,,
832,India,Hisar,29.16667,75.71667,387.141,596,KANDLA,23.02,70.22,877,,,,,,
833,India,Hosur,12.716667,77.816667,646.438,205,CHENNAI,13.1,80.3,273,,,,,,
834,India,Hubli-Dharwad,15.458722,75.010582,1231.015,1249,MORMUGAO,15.42,73.8,130,,,,,,
835,India,Hyderabad,17.37528,78.47444,11337.852,414,VISAKHAPATNAM,17.68,83.28,511,,,,,,
836,India,Ichalkaranji,16.7,74.46667,398.872,1249,MORMUGAO,15.42,73.8,159,,,,,,
837,India,Imphal,24.81667,93.95,662.452,1496,CHARCHANGA,22.22,91.05,414,,,,,,
838,India,Indore,22.71792,75.8333,3482.832,420,BHAUNAGAR_I,21.8,72.3,378,,,,,,
839,India,Jabalpur,23.16697,79.95006,1582.203,414,VISAKHAPATNAM,17.68,83.28,703,,,,,,
840,India,Jaipur,26.91667,75.81667,4411.107,420,BHAUNAGAR_I,21.8,72.3,672,,,,,,
841,India,Jalandhar,31.325556,75.579167,1167.599,596,KANDLA,23.02,70.22,1066,,,,,,
842,India,Jalgaon,21.009222,75.564353,628.788,420,BHAUNAGAR_I,21.8,72.3,350,,,,,,
843,India,Jalna,19.83333,75.88333,376.403,43,MUMBAI,18.92,72.83,336,,,,,,
844,India,Jammu,32.727805,74.856879,751.521,204,KARACHI,24.81,66.97,1169,,,,,,
845,India,Jamnagar,22.46667,70.06667,691.018,596,KANDLA,23.02,70.22,64,0.11173529411764704,0.4575,1.8998823529411761,0.14258823529411763,0.45999999999999996,1.9004705882352937
846,India,Jamshedpur,22.8,86.18333,1767.757,1369,GANGRA,21.95,88.02,211,,,,,,
847,India,Jhansi,25.43333,78.58333,706.823,420,BHAUNAGAR_I,21.8,72.3,758,,,,,,
848,India,Jodhpur,26.239232,73.015787,1664.419,596,KANDLA,23.02,70.22,457,,,,,,
849,India,Junagadh,21.51667,70.46667,444.16,596,KANDLA,23.02,70.22,169,,,,,,
850,India,Kadapa,14.470955,78.824135,500.47,205,CHENNAI,13.1,80.3,221,,,,,,
851,India,Kakinada,16.93333,82.21667,563.735,414,VISAKHAPATNAM,17.68,83.28,140,,,,,,
852,India,Kanhangad,12.30814,75.10632,399.488,696,MANGALORE,12.85,74.83,67,-0.004088235294117646,0.4385,1.968882352941176,0.22573529411764703,0.5515,2.062558823529411
853,India,Kannur,11.872888,75.371554,2465.138,696,MANGALORE,12.85,74.83,124,,,,,,
854,India,Kanpur,26.46667,80.35,3345.367,1002,TRIBENI,22.98,88.4,901,,,,,,
855,India,Karimnagar,18.43333,79.15,450.584,414,VISAKHAPATNAM,17.68,83.28,445,,,,,,
856,India,Karnal,29.68333,76.98333,458.934,420,BHAUNAGAR_I,21.8,72.3,995,,,,,,
857,India,Karur,10.95771,78.08095,405.879,438,COCHIN,9.97,76.27,227,,,,,,
858,India,Kayamkulam,9.166577,76.504332,838.87,438,COCHIN,9.97,76.27,93,0.23188235294117646,0.5815,2.108617647058823,0.24088235294117644,0.5685,2.0973823529411764
859,India,Khammam,17.25,80.15,382.803,414,VISAKHAPATNAM,17.68,83.28,336,,,,,,
860,India,Kharagpur,22.326323,87.319184,351.911,1369,GANGRA,21.95,88.02,84,0.1381764705882353,0.54,1.984176470588235,0.1751764705882353,0.508,1.9436470588235288
861,India,Kochi (Cochin),9.930693,76.260069,3604.55,438,COCHIN,9.97,76.27,5,0.23188235294117646,0.5815,2.108617647058823,0.24088235294117644,0.5685,2.0973823529411764
862,India,Kolhapur,16.69563,74.23167,669.008,1249,MORMUGAO,15.42,73.8,149,,,,,,
863,India,Kolkata (Calcutta),22.533455,88.356045,15845.219,48,KIDDERPORE,22.53,88.33,3,-0.3281176470588235,0.0395,1.4658235294117643,0.1731764705882353,0.505,1.932147058823529
864,India,Kollam,8.88056,76.59167,2252.169,438,COCHIN,9.97,76.27,126,,,,,,
