gauge_id,gauge_name,gauge_country,gauge_lat,gauge_lon,rsl_low,rsl_central,rsl_high,novlm_low,novlm_central,novlm_high
205,CHENNAI,INDIA,13.1,80.3,0.11,0.45,1.97,0.21,0.54,2.06
208,ALICANTE,SPAIN,38.34,-0.48,0.13,0.47,1.78,0.22,0.56,1.87
209,CADIZ_II,SPAIN,36.53,-6.31,0.29,0.64,1.97,0.23,0.58,1.92
210,RANGOON,MYANMAR,16.77,96.17,0.33,0.71,2.18,0.21,0.54,2.01
213,BLUFF,NEW ZEALAND,-46.6,168.35,0.23,0.57,1.91,0.23,0.56,1.9
214,FELIXSTOWE,UNITED KINGDOM,51.96,1.35,0.13,0.59,1.85,0.13,0.58,1.84
215,TUAPSE,RUSSIAN FEDERATION,44.1,39.07,0.07,0.5,1.78,0.04,0.47,1.74
216,PORT_PIRIE,AUSTRALIA,-33.18,138.01,0.17,0.48,1.82,0.23,0.53,1.88
217,AUCKLAND-WAITEMATA_HARBOUR,NEW ZEALAND,-36.84,174.77,0.21,0.57,2.03,0.22,0.58,2.04
219,BELFAST_2,UNITED KINGDOM,54.6,-5.92,-0.03,0.4,1.6,0.11,0.53,1.74
221,WELLINGTON_HARBOUR,NEW ZEALAND,-41.28,174.78,0.28,0.63,2.05,0.23,0.57,1.99
223,QUEQUEN,ARGENTINA,-38.58,-58.7,0.16,0.47,1.79,0.21,0.51,1.83
224,LEWES,UNITED STATES,38.78,-75.12,0.47,0.85,2.27,0.28,0.66,2.07
225,KETCHIKAN,UNITED STATES,55.33,-131.62,-0.02,0.28,1.63,0.17,0.47,1.82
226,SAPPI,FINLAND,61.48,21.33,-0.6,-0.13,1.07,0.12,0.58,1.78
227,SUR_SARI,RUSSIAN FEDERATION,60.08,26.98,-0.03,0.43,1.66,0.14,0.6,1.82
229,KEMI,FINLAND,65.67,24.52,-0.74,-0.25,0.93,0.05,0.54,1.72
230,PORT_LINCOLN,AUSTRALIA,-34.72,135.87,0.22,0.54,1.9,0.23,0.54,1.9
231,HELIGMAN,ÅLAND ISLANDS,60.2,19.3,-0.46,-0.0,1.21,0.13,0.58,1.8
234,CHARLESTON_I,UNITED STATES,32.78,-79.92,0.43,0.78,2.21,0.28,0.62,2.06
235,BOSTON,UNITED STATES,42.35,-71.05,0.33,0.78,2.19,0.23,0.68,2.08
236,WEST-TERSCHELLING,"NETHERLANDS, KINGDOM OF THE",53.36,5.22,0.11,0.55,1.82,0.13,0.57,1.83
237,PRIMORSK,RUSSIAN FEDERATION,60.35,28.62,-0.01,0.44,1.65,0.15,0.6,1.8
238,TVARMINNE,FINLAND,59.85,23.25,-0.25,0.2,1.43,0.14,0.59,1.82
239,TURKU,FINLAND,60.43,22.1,-0.39,0.07,1.28,0.13,0.59,1.8
240,RAAHE,FINLAND,64.67,24.41,-0.76,-0.26,0.91,0.07,0.56,1.74
245,LOS_ANGELES,UNITED STATES,33.72,-118.27,0.14,0.43,1.93,0.21,0.5,2.0
