location,lat,lon,gauge_id,gauge_name,low-end,low,central,high,high-end
352,43.51,16.44,352,SPLIT - GRADSKA_LUKA,0.16,0.26,0.51,0.9,1.57
353,45.3,14.53,353,BAKAR,0.14,0.26,0.49,0.88,1.55
359,34.92,139.82,359,MERA,0.26,0.36,0.63,1.11,1.98
360,38.87,-77.02,360,WASHINGTON_DC,0.28,0.39,0.66,1.08,1.83
361,57.14,-2.08,361,ABERDEEN_I,0.09,0.26,0.56,0.98,1.61
362,40.79,-73.78,362,WILLETS_POINT,0.26,0.38,0.67,1.1,1.84
363,25.77,-80.13,363,MIAMI_BEACH,0.28,0.37,0.61,1.02,1.84
366,40.47,-74.01,366,SANDY_HOOK,0.27,0.38,0.67,1.1,1.85
367,41.52,-70.67,367,WOODS_HOLE,0.24,0.37,0.68,1.14,1.89
368,32.37,-64.7,368,ST. GEORGES,0.17,0.27,0.5,0.86,1.66
369,22.55,88.3,369,GARDEN_REACH,0.18,0.28,0.5,0.91,1.69
373,40.63,22.93,373,THESSALONIKI,0.16,0.27,0.52,0.91,1.59
374,37.94,23.63,374,PIRAIEVS,0.17,0.28,0.54,0.93,1.63
375,40.93,24.41,375,KAVALLA,0.15,0.26,0.51,0.9,1.59
376,61.13,21.43,376,RAUMA,0.14,0.28,0.58,1.0,1.62
377,34.01,-118.5,377,SANTA_MONICA,0.21,0.29,0.5,0.88,1.72
378,41.74,-124.18,378,CRESCENT_CITY,0.22,0.31,0.53,0.89,1.72
379,44.17,28.67,379,CONSTANTZA,0.03,0.19,0.45,0.83,1.51
384,48.55,-123.01,384,FRIDAY_HARBOR,0.18,0.26,0.46,0.8,1.59
385,48.37,-124.61,385,NEAH_BAY,0.18,0.27,0.47,0.81,1.61
386,-32.15,133.64,386,THEVENARD,0.24,0.32,0.54,0.9,1.66
392,47.57,-59.13,392,PORT_AUX_BASQUES,0.19,0.35,0.66,1.13,1.84
393,47.57,-52.72,393,ST. JOHN'S,0.18,0.34,0.66,1.13,1.83
394,10.3,123.92,394,CEBU,0.2,0.32,0.61,1.02,1.89
395,32.03,-80.9,395,FORT_PULASKI,0.29,0.38,0.62,1.03,1.82
396,34.23,-77.95,396,WILMINGTON,0.27,0.37,0.62,1.04,1.81
397,54.51,13.64,397,SASSNITZ,0.19,0.32,0.6,1.04,1.67
398,61.92,5.63,398,KJOLSDAL,0.08,0.25,0.53,0.94,1.54
399,36.82,-76.29,399,PORTSMOUTH,0.29,0.39,0.65,1.07,1.83
401,58.97,9.88,401,NEVLUNGHAVN,0.14,0.29,0.57,0.99,1.61
405,58.3,-134.41,405,JUNEAU,0.15,0.25,0.45,0.77,1.54
407,35.02,138.89,407,UCHIURA,0.26,0.36,0.63,1.09,1.96
408,38.37,26.14,408,KHIOS,0.17,0.28,0.54,0.94,1.64
409,37.95,22.96,409,POSIDHONIA,0.18,0.29,0.54,0.93,1.63
410,38.96,20.76,410,PREVEZA,0.19,0.29,0.54,0.93,1.63
411,37.02,22.12,411,KALAMAI,0.19,0.3,0.54,0.94,1.64
412,38.32,-76.45,412,SOLOMON'S_ISLAND,0.28,0.38,0.66,1.08,1.83
413,51.23,2.92,413,OOSTENDE,0.15,0.29,0.57,1.0,1.65
414,17.68,83.28,414,VISAKHAPATNAM,0.19,0.28,0.51,0.95,1.74
417,21.65,88.05,417,SAUGOR/SAGAR,0.18,0.28,0.51,0.92,1.7
418,19.91,-75.15,418,GUANTANAMO_BAY,0.27,0.36,0.6,1.0,1.83
420,21.8,72.3,420,BHAUNAGAR_I,0.12,0.21,0.44,0.88,1.65
425,69.33,16.13,425,ANDENES,-0.0,0.21,0.51,0.91,1.48
426,57.05,-135.34,426,SITKA,0.16,0.26,0.47,0.79,1.57
427,46.23,-63.12,427,CHARLOTTETOWN,0.19,0.35,0.67,1.14,1.86
428,29.14,-83.03,428,CEDAR_KEY_II,0.28,0.37,0.62,1.04,1.83
429,41.36,-72.09,429,NEW_LONDON,0.24,0.37,0.68,1.12,1.86
430,41.81,-71.4,430,PROVIDENCE,0.23,0.36,0.67,1.13,1.87
431,-34.9,-56.25,431,MONTEVIDEO,0.22,0.3,0.53,0.91,1.64
432,53.35,-6.22,432,DUBLIN,0.14,0.28,0.54,0.92,1.57
433,-34.48,-57.85,433,COLONIA,0.21,0.29,0.52,0.89,1.62
434,-34.97,-54.95,434,PUNTA_DEL_ESTE,0.22,0.3,0.53,0.92,1.66
435,54.15,-4.47,435,DOUGLAS,0.13,0.28,0.54,0.92,1.56
437,37.77,-122.3,437,ALAMEDA,0.21,0.29,0.5,0.88,1.72
438,9.97,76.27,438,COCHIN,0.24,0.33,0.57,1.01,1.83
440,29.37,-91.39,440,EUGENE_ISLAND,0.26,0.36,0.6,1.03,1.83
444,13.55,100.58,444,FORT_PHRACHULA_CHOMKLAO,0.24,0.33,0.57,0.97,1.78
445,59.55,-139.73,445,YAKUTAT,0.12,0.22,0.43,0.74,1.51
446,7.83,98.43,446,KO_TAPHAO_NOI,0.23,0.33,0.58,0.99,1.84
447,58.77,-94.18,447,CHURCHILL,0.2,0.35,0.63,1.19,1.87
448,-34.78,138.48,448,PORT_ADELAIDE,0.23,0.32,0.53,0.88,1.64
449,13.15,100.82,449,KO_SICHANG,0.23,0.33,0.57,0.97,1.79
453,49.48,0.11,453,LE_HAVRE,0.15,0.28,0.56,0.98,1.64
454,48.64,-2.03,454,ST. MALO,0.17,0.29,0.55,0.96,1.63
455,50.97,1.87,455,CALAIS,0.16,0.29,0.58,1.0,1.65
456,3.9,-77.1,456,BUENAVENTURA,0.25,0.34,0.56,0.96,1.77
457,47.27,-2.2,457,ST. NAZAIRE,0.19,0.3,0.55,0.94,1.62
458,-17.0,-72.12,458,MATARANI,0.26,0.34,0.56,0.94,1.72
460,40.53,141.53,460,HACHINOHE_I,0.22,0.32,0.59,1.14,2.0
462,37.57,-77.45,462,RICHMOND,0.28,0.39,0.65,1.07,1.82
463,39.63,141.97,463,MIYAKO_I,0.18,0.31,0.61,1.19,2.05
464,9.97,-84.83,464,PUNTARENAS,0.26,0.35,0.58,0.98,1.82
466,46.16,-1.22,466,LA_ROCHELLE-LA_PALLICE,0.19,0.3,0.55,0.94,1.62
467,49.65,-1.64,467,CHERBOURG,0.16,0.29,0.56,0.97,1.64
468,51.05,2.37,468,DUNKERQUE,0.15,0.29,0.58,1.0,1.66
469,43.4,-1.68,469,ST_JEAN_DE_LUZ,0.2,0.31,0.56,0.96,1.65
470,51.35,3.2,470,ZEEBRUGGE,0.15,0.29,0.57,1.0,1.65
471,50.73,1.58,471,BOULOGNE,0.16,0.29,0.58,1.0,1.65
474,49.93,1.08,474,DIEPPE,0.15,0.28,0.57,0.99,1.64
475,-4.62,-81.28,475,TALARA,0.25,0.34,0.58,0.99,1.81
477,-20.15,57.5,477,PORT_LOUIS,0.25,0.35,0.59,0.97,1.85
483,42.24,-8.73,483,VIGO,0.21,0.32,0.57,0.96,1.67
484,43.37,-8.4,484,LA_CORUNA_I,0.2,0.32,0.57,0.97,1.67
485,43.46,-3.79,485,SANTANDER_I,0.2,0.32,0.57,0.97,1.66
486,61.93,5.11,486,MALOY,0.08,0.26,0.53,0.94,1.54
487,51.86,-176.63,487,ADAK  SWEEPER_COVE,0.21,0.31,0.53,0.93,1.8
488,36.01,-5.6,488,TARIFA,0.24,0.34,0.58,0.97,1.69
489,51.15,2.73,489,NIEUWPOORT,0.15,0.29,0.57,1.0,1.65
490,36.12,-5.43,490,ALGECIRAS,0.24,0.34,0.58,0.97,1.69
491,52.83,173.2,491,MASSACRE_BAY,0.2,0.3,0.51,0.92,1.79
495,59.45,-135.33,495,SKAGWAY,0.14,0.24,0.44,0.76,1.51
496,36.71,-4.42,496,MALAGA,0.24,0.33,0.58,0.96,1.67
497,26.06,-97.22,497,PORT_ISABEL,0.26,0.36,0.59,1.02,1.84
498,35.89,-5.32,498,CEUTA,0.24,0.34,0.58,0.98,1.69
499,-33.03,-71.63,499,VALPARAISO,0.24,0.32,0.52,0.87,1.61
500,-41.28,174.78,500,WELLINGTON_II,0.23,0.32,0.57,1.01,1.75
501,-42.77,-65.03,501,PUERTO_MADRYN,0.21,0.28,0.49,0.82,1.5
503,31.22,29.92,503,ALEXANDRIA,0.2,0.31,0.56,0.99,1.71
508,35.18,-120.76,508,PORT_SAN_LUIS,0.2,0.28,0.49,0.88,1.73
509,62.47,6.15,509,ALESUND,0.06,0.24,0.53,0.94,1.53
510,-23.65,-70.4,510,ANTOFAGASTA_2,0.26,0.34,0.55,0.92,1.69
511,-23.65,-70.42,511,ANTOFAGASTA,0.26,0.34,0.55,0.92,1.69
513,8.73,167.74,513,KWAJALEIN,0.28,0.37,0.63,1.07,2.0
518,42.98,144.37,518,KUSHIRO,0.23,0.33,0.57,1.09,1.94
519,41.05,-71.96,519,MONTAUK,0.24,0.37,0.68,1.13,1.88
520,27.76,-82.63,520,ST. PETERSBURG,0.28,0.37,0.62,1.04,1.85
521,20.89,-156.48,521,KAHULUI_HARBOR,0.28,0.38,0.65,1.11,2.05
522,13.15,123.75,522,LEGASPI,0.19,0.32,0.61,1.02,1.89
523,28.21,-177.36,523,MIDWAY_ISLAND,0.29,0.4,0.66,1.15,2.09
524,70.37,31.1,524,VARDO,0.04,0.23,0.55,0.95,1.54
525,44.39,-68.2,525,BAR_HARBOR,0.22,0.36,0.67,1.14,1.86
526,29.26,-89.96,526,GRAND_ISLE,0.26,0.36,0.6,1.03,1.83
527,49.23,-124.82,527,PORT_ALBERNI,0.15,0.24,0.44,0.78,1.57
528,7.45,151.85,528,CHUUK,0.26,0.37,0.61,1.05,1.97
531,68.58,16.55,531,EVENSKJAER,0.02,0.22,0.51,0.92,1.48
537,7.08,125.63,537,DAVAO,0.22,0.33,0.6,1.01,1.88
538,28.02,-97.05,538,ROCKPORT,0.27,0.36,0.59,1.02,1.82
539,-14.28,-170.69,539,PAGO_PAGO,0.23,0.34,0.61,1.04,1.93
540,13.44,144.65,540,APRA_HARBOR,0.22,0.34,0.64,1.04,1.95
541,78.07,14.25,541,BARENTSBURG,-0.97,-0.65,-0.39,-0.12,0.45
542,-28.23,-48.65,542,IMBITUBA,0.24,0.32,0.56,0.96,1.74
543,22.2,88.17,543,DIAMOND_HARBOUR,0.18,0.28,0.51,0.92,1.69
544,-2.2,-80.92,544,LA_LIBERTAD_II,0.25,0.34,0.58,0.99,1.81
545,25.13,121.73,545,KEELUNG_II,0.26,0.35,0.61,1.04,1.89
546,44.02,145.87,546,YUZHNO_KURILSK,0.25,0.34,0.56,0.99,1.85
547,78.07,14.25,547,BARENTSBURG_II,-0.97,-0.65,-0.39,-0.12,0.45
549,-33.83,151.28,549,CAMP_COVE,0.25,0.34,0.59,1.03,1.8
552,10.0,-83.03,552,PUERTO_LIMON,0.3,0.39,0.64,1.06,1.89
